Player,Pos,Age,G,FG,FG%,eFG%,PTS
Kenrich Williams,PF,29,69,1.9,0.468,0.568,4.7
Shake Milton,SG,27,38,1.7,0.4,0.444,4.7
Jacob Gilyard,PG,25,37,1.6,0.417,0.594,4.7
Dylan Windler,SF,27,6,1.7,0.526,0.737,4.7
Kenneth Lofton Jr.,PF,21,21,1.7,0.462,0.506,4.6
Anthony Black,PG,20,69,1.7,0.466,0.54,4.6
Josh Okogie,SG,25,60,1.4,0.417,0.488,4.6
Omer Yurtseven,C,25,48,2.1,0.538,0.552,4.6
Monte Morris,PG,28,6,2,0.364,0.394,4.5
Shake Milton,SG,27,48,1.6,0.405,0.451,4.5
Delon Wright,PG,31,47,1.6,0.394,0.46,4.5
A.J. Green,SG,24,56,1.5,0.423,0.599,4.5
Kevon Looney,C,27,74,1.9,0.597,0.597,4.5
Taze Moore,SG,25,4,2,0.421,0.447,4.5
Julian Strawther,SF,21,50,1.6,0.369,0.462,4.5
Robert Covington,SF,33,26,1.5,0.449,0.545,4.5
Keita Bates-Diop,SF,28,39,1.6,0.427,0.493,4.5
Taj Gibson,PF,38,4,2,0.571,0.643,4.5
Bismack Biyombo,C,31,40,1.9,0.565,0.565,4.4
Robert Covington,PF,33,29,1.5,0.439,0.536,4.4
Patrick Baldwin Jr.,SF,21,38,1.6,0.381,0.481,4.4
Mo Bamba,C,25,57,1.7,0.49,0.553,4.4
Dominick Barlow,PF,20,33,1.7,0.496,0.509,4.4
MarJon Beauchamp,SF,23,48,1.7,0.488,0.578,4.4
Joe Ingles,SF,36,68,1.5,0.436,0.59,4.4
Maxi Kleber,C,32,43,1.5,0.432,0.541,4.4
Jontay Porter,PF,24,26,1.5,0.385,0.481,4.4
Lester Quiñones,SG,23,37,1.5,0.397,0.511,4.4
Ben Sheppard,SG,22,57,1.6,0.393,0.5,4.4
Blake Wesley,SG,20,61,1.7,0.474,0.502,4.4
Seth Curry,SG,33,36,1.5,0.372,0.472,4.3
Jeff Dowtin,PG,26,12,1.7,0.556,0.681,4.3
Jaxson Hayes,C,23,70,1.8,0.72,0.72,4.3
Caleb Houstan,SF,21,59,1.4,0.388,0.563,4.3
John Konchar,SF,27,55,1.6,0.423,0.514,4.3
Dru Smith,SG,26,9,1.7,0.455,0.561,4.3
Doug McDermott,SF,32,18,1.6,0.406,0.536,4.2
Thaddeus Young,PF,35,33,2,0.602,0.606,4.2
Jacob Gilyard,PG,25,41,1.5,0.4,0.57,4.2
Armoni Brooks,PG,25,10,1.5,0.326,0.446,4.2
Troy Brown Jr.,SF,24,59,1.4,0.372,0.476,4.2
Troy Brown Jr.,SF,24,37,1.4,0.441,0.572,4.2
Troy Brown Jr.,SF,24,22,1.5,0.296,0.37,4.2
Max Christie,SG,20,67,1.5,0.427,0.515,4.2
Ashton Hagans,PG,24,19,1.5,0.408,0.465,4.2
Danuel House Jr.,SF,30,34,1.4,0.448,0.519,4.2
Théo Maledon,PG,22,13,1.5,0.288,0.326,4.2
Delon Wright,PG,31,33,1.5,0.393,0.451,4.1
Skylar Mays,SG,26,38,1.7,0.396,0.447,4.1
Sandro Mamukelashvili,C,24,46,1.6,0.471,0.532,4.1
Luka Šamanić,PF,24,43,1.4,0.38,0.421,4.1
Jae'Sean Tate,SF,28,65,1.7,0.472,0.522,4.1
Marques Bolden,C,25,9,1.9,0.68,0.68,4.1
Ryan Rollins,PG,21,10,1.3,0.52,0.56,4.1
Evan Fournier,SG,31,3,1.3,0.2,0.25,4
Xavier Tillman Sr.,PF,25,20,1.7,0.515,0.576,4
Patty Mills,PG,35,32,1.4,0.351,0.443,4
Izaiah Brockington,PG,24,1,2,0.4,0.4,4
Ousmane Dieng,PF,20,33,1.5,0.422,0.513,4
Luka Garza,C,25,25,1.4,0.48,0.54,4
Mouhamed Gueye,PF,21,6,1.3,0.348,0.413,4
Justin Holiday,SG,34,58,1.5,0.454,0.595,4
Matthew Hurt,PF,23,8,1.5,0.353,0.426,4
JaVale McGee,C,36,46,1.7,0.598,0.602,4
Svi Mykhailiuk,SF,26,41,1.4,0.416,0.569,4
Rayan Rupert,SG,19,39,1.4,0.335,0.422,4
Adama Sanogo,PF,21,9,1.6,0.519,0.519,4
Jaylin Williams,C,21,69,1.4,0.417,0.533,4
Jaden Springer,SG,21,32,1.4,0.39,0.424,4
Mike Muscala,C,32,24,1.4,0.367,0.444,4
Mamadi Diakite,PF,27,3,1.3,0.8,0.8,4
Jules Bernard,SG,24,19,1.5,0.453,0.539,3.9
Chris Duarte,SF,26,59,1.4,0.381,0.486,3.9
DeAndre Jordan,C,35,36,1.6,0.624,0.624,3.9
Tre Mann,PG,22,13,1.5,0.5,0.6,3.8
Sidy Cissoko,SF,19,12,1.3,0.485,0.5,3.8
Anthony Gill,PF,31,50,1.5,0.469,0.5,3.8
Kira Lewis Jr.,PG,22,12,1.5,0.45,0.475,3.8
KJ Martin,SF,23,60,1.6,0.536,0.558,3.7
KJ Martin,SF,23,58,1.6,0.544,0.564,3.7
Keita Bates-Diop,SF,28,53,1.4,0.434,0.497,3.7
Oshae Brissett,SF,25,55,1.2,0.444,0.493,3.7
Jamal Cain,PF,24,26,1.3,0.43,0.5,3.7
Drew Peterson,PF,24,3,1.3,0.667,0.917,3.7
T.J. Warren,SF,30,11,1.6,0.439,0.463,3.7
Jamaree Bouyea,PG,24,3,1.7,0.714,0.786,3.7
James Bouknight,SG,23,14,1.3,0.439,0.598,3.6
Collin Gillespie,PG,24,24,1.3,0.464,0.572,3.6
Gui Santos,PF,21,23,1.2,0.509,0.6,3.6
Jarace Walker,PF,20,33,1.4,0.409,0.509,3.6
Lindy Waters III,SG,26,38,1.3,0.471,0.649,3.6
Yuta Watanabe,SF,29,29,1.2,0.361,0.485,3.6
Théo Maledon,PG,22,17,1.2,0.286,0.321,3.5
Onuralp Bitim,SG,24,23,1.4,0.381,0.452,3.5
Jordan McLaughlin,PG,27,56,1.3,0.483,0.628,3.5
Mike Muscala,C,32,13,1.2,0.341,0.489,3.5
Richaun Holmes,C,30,23,1.4,0.559,0.559,3.4
Marques Bolden,C,25,11,1.5,0.68,0.68,3.4
Ryan Rollins,PG,21,13,1.1,0.519,0.574,3.4
Yuta Watanabe,SF,29,34,1.2,0.353,0.461,3.4
Buddy Boeheim,SF,24,10,0.9,0.31,0.448,3.4
Moses Brown,C,24,22,1.5,0.508,0.508,3.4
Wenyen Gabriel,PF,26,5,1.6,0.364,0.386,3.4
Nassir Little,SF,23,45,1.3,0.46,0.544,3.4
Jalen McDaniels,SF,26,50,1.3,0.344,0.376,3.4
Harry Giles,C,25,16,1.4,0.5,0.534,3.4
Vasilije Micić,PG,30,30,1.2,0.407,0.467,3.3
Jaden Springer,PG,21,49,1.2,0.399,0.432,3.3
Charles Bassey,C,23,19,1.5,0.725,0.725,3.3
Micah Potter,PF,25,16,1.2,0.475,0.588,3.3
Dwight Powell,C,32,63,1.1,0.679,0.684,3.3
Terquavion Smith,PG,21,16,1.1,0.391,0.533,3.3
Garrett Temple,SG,37,27,1.1,0.372,0.449,3.3
Tristan Thompson,C,32,49,1.5,0.608,0.608,3.3
Oscar Tshiebwe,PF,24,8,1.3,0.5,0.5,3.3
Kira Lewis Jr.,PG,22,28,1.2,0.37,0.391,3.2
A.J. Lawson,SG,23,42,1.3,0.446,0.5,3.2
Boban Marjanović,C,35,14,1.3,0.529,0.529,3.2
Zeke Nnaji,PF,23,58,1.2,0.463,0.483,3.2
Ish Smith,PG,35,43,1.5,0.418,0.43,3.2
JT Thor,PF,21,63,1.3,0.437,0.514,3.2
Brandon Williams,PG,24,17,1.2,0.37,0.398,3.2
Wesley Matthews,SG,37,36,0.9,0.351,0.474,3.1
Dalen Terry,SG,21,59,1.2,0.439,0.494,3.1
Gabe Vincent,PG,27,11,1.4,0.306,0.337,3.1
Robert Covington,PF,33,3,1,0.333,0.444,3
Mike Muscala,C,32,53,1.1,0.359,0.449,3
Johnny Davis,SG,21,50,1.2,0.403,0.448,3
Saben Lee,PG,24,24,0.8,0.364,0.382,3
Olivier-Maxence Prosper,PF,21,40,1,0.385,0.447,3
Dāvis Bertāns,PF,31,15,0.7,0.385,0.577,2.9
Kira Lewis Jr.,PG,22,15,1.1,0.308,0.327,2.9
Trevelin Queen,SG,26,14,1,0.368,0.408,2.9
Jeremiah Robinson-Earl,PF,23,39,1.2,0.474,0.542,2.9
Jeenathan Williams,SG,24,22,1.2,0.54,0.56,2.9
Ish Wainright,SF,29,7,0.9,0.333,0.5,2.9
Lamar Stevens,PF,26,19,1.1,0.467,0.5,2.8
Danilo Gallinari,SF,35,17,0.8,0.378,0.419,2.8
D.J. Carton,SG,23,4,0.8,0.375,0.438,2.8
Henri Drell,SF,23,4,1,0.4,0.5,2.8
Orlando Robinson,C,23,36,1,0.5,0.556,2.8
Nicolas Batum,PF,35,3,1,0.375,0.5,2.7
Patty Mills,PG,35,19,1,0.373,0.5,2.7
Emoni Bates,SF,20,15,1,0.306,0.408,2.7
Leaky Black,SF,24,26,1,0.481,0.567,2.7
Damian Jones,C,28,39,1.1,0.597,0.618,2.7
Malik Williams,C,25,7,1.3,0.265,0.279,2.7
Kenneth Lofton Jr.,PF,21,15,0.9,0.378,0.419,2.6
Yuta Watanabe,SF,29,5,1.2,0.316,0.342,2.6
Timmy Allen,SF,24,5,1.2,0.261,0.261,2.6
Moussa Diabaté,C,22,11,0.9,0.526,0.526,2.6
Otto Porter Jr.,SF,30,15,0.9,0.424,0.545,2.6
Tosan Evbuomwan,SF,22,4,1,0.267,0.333,2.5
Alex Fudge,SF,20,6,1,0.4,0.433,2.5
Dylan Windler,SF,27,17,0.9,0.5,0.717,2.5
Greg Brown III,PF,22,6,0.8,0.455,0.5,2.5
Furkan Korkmaz,SG,26,35,0.9,0.395,0.487,2.5
Alex Len,C,30,48,1,0.617,0.617,2.5
Markieff Morris,PF,34,26,0.9,0.338,0.449,2.5
Harry Giles,C,25,23,1,0.46,0.49,2.4
AJ Griffin,SF,20,20,0.9,0.29,0.371,2.4
Mouhamadou Gueye,PF,25,11,1,0.289,0.289,2.4
Joe Harris,SG,32,16,0.9,0.359,0.487,2.4
Cory Joseph,PG,32,26,0.9,0.359,0.461,2.4
Xavier Moon,SG,29,14,1.1,0.326,0.348,2.4
Dalano Banton,PG,24,24,0.8,0.373,0.392,2.3
Thaddeus Young,PF,35,10,1.1,0.524,0.524,2.3
Jamaree Bouyea,PG,24,9,1.1,0.357,0.375,2.3
Amari Bailey,PG,19,10,0.8,0.333,0.354,2.3
Isaiah Mobley,PF,24,10,1,0.417,0.479,2.3
Chuma Okeke,SF,25,47,0.9,0.357,0.46,2.3
Olivier Sarr,C,24,15,0.7,0.579,0.632,2.3
Dereon Seabron,SG,23,6,0.7,0.308,0.346,2.3
Cole Swider,SF,24,18,0.8,0.395,0.526,2.3
Malachi Flynn,PG,25,14,0.6,0.391,0.478,2.2
Udoka Azubuike,C,24,16,1,0.696,0.696,2.2
Reggie Bullock,SF,32,44,0.8,0.415,0.579,2.2
Trent Forrest,SG,25,38,0.9,0.378,0.389,2.2
Nate Hinton,SG,24,15,0.7,0.423,0.558,2.2
Andre Jackson Jr.,SG,22,57,0.9,0.5,0.585,2.2
Julian Phillips,SF,20,40,0.8,0.416,0.494,2.2
Jaden Springer,PG,21,17,0.8,0.433,0.467,2.1
Ish Wainright,SF,29,11,0.6,0.292,0.438,2.1
Colby Jones,SG,21,30,0.9,0.394,0.408,2.1
Daniel Theis,C,31,1,1,0.25,0.25,2
Mamadi Diakite,PF,27,6,0.7,0.667,0.667,2
Kobe Brown,PF,24,44,0.8,0.411,0.489,2
JD Davison,SG,21,8,0.6,0.417,0.542,2
Jordan Ford,PG,25,6,0.7,0.571,0.714,2
Kevon Harris,SG,26,2,1,0.667,0.667,2
D'Moi Hodge,SG,25,7,0.7,0.333,0.433,2
Ty Jerome,SG,26,2,1,0.5,0.5,2
Markquis Nowell,SG,24,1,0,0,0,2
Jericho Sims,C,25,45,0.8,0.691,0.691,2
Lindell Wigginton,PG,25,3,0.7,0.4,0.4,2
Isaiah Wong,SG,23,1,1,0.333,0.333,2
P.J. Tucker,PF,38,3,0.7,0.4,0.6,2
Shake Milton,SG,27,6,0.7,0.444,0.5,1.8
Bismack Biyombo,C,31,10,0.7,0.583,0.583,1.8
Justin Minaya,SF,24,34,0.6,0.297,0.378,1.8
Daishen Nix,PG,21,15,0.6,0.375,0.5,1.8
Cody Zeller,C,31,43,0.6,0.419,0.427,1.8
Jamaree Bouyea,PG,24,6,0.8,0.238,0.238,1.7
Taj Gibson,PF,38,20,0.8,0.405,0.432,1.7
P.J. Tucker,PF,38,31,0.6,0.36,0.49,1.7
Kessler Edwards,SF,23,54,0.6,0.415,0.537,1.7
Leonard Miller,SF,20,17,0.8,0.65,0.7,1.7
Jason Preston,PG,24,7,0.9,0.316,0.316,1.7
Jordan Walsh,SF,19,9,0.7,0.4,0.467,1.7
Keita Bates-Diop,SF,28,14,0.6,0.5,0.531,1.6
P.J. Tucker,PF,38,28,0.6,0.356,0.478,1.6
Jalen Hood-Schifino,SG,20,21,0.5,0.222,0.244,1.6
Jett Howard,SF,20,18,0.6,0.333,0.45,1.6
Seth Lundy,SF,23,9,0.4,0.235,0.324,1.6
Jordan Miller,SF,24,8,0.6,0.556,0.611,1.6
Josh Minott,SF,21,32,0.5,0.472,0.528,1.6
Jalen Pickett,SG,24,27,0.6,0.429,0.557,1.6
Dylan Windler,SF,27,8,0.5,0.444,0.667,1.5
Ibou Badji,C,21,22,0.6,0.636,0.636,1.5
Colin Castleton,C,23,16,0.6,0.563,0.563,1.5
Adam Flagler,SG,24,2,0.5,0.143,0.214,1.5
Dariq Whitehead,SF,19,2,0.5,0.2,0.2,1.5
Terry Taylor,PF,24,31,0.6,0.513,0.538,1.5
Jack White,SF,26,4,0.5,0.125,0.188,1.5
Filip Petrušev,C,23,2,0.5,0.5,0.5,1.5
Kendall Brown,SG,20,15,0.5,0.533,0.533,1.4
Mason Jones,SG,25,5,0.4,0.25,0.375,1.4
Jerome Robinson,SG,26,22,0.5,0.333,0.364,1.4
Jermaine Samuels,SF,25,14,0.6,0.643,0.643,1.4
Jacob Toppin,SF,23,9,0.6,0.556,0.611,1.4
David Roddy,PF,22,17,0.6,0.435,0.457,1.3
Skylar Mays,SG,26,17,0.6,0.476,0.524,1.3
Théo Maledon,PG,22,4,0.3,0.25,0.25,1.3
R.J. Hampton,PG,22,8,0.5,0.286,0.321,1.3
Nathan Mensah,C,25,25,0.5,0.429,0.429,1.3
Isaiah Thomas,PG,34,6,0.5,0.3,0.4,1.3
TyTy Washington Jr.,PG,22,11,0.5,0.3,0.35,1.3
Aleksej Pokusevski,PF,22,10,0.4,0.25,0.313,1.2
Jay Huff,C,25,20,0.5,0.6,0.7,1.2
Keyontae Johnson,SF,23,9,0.6,0.313,0.344,1.2
Chris Livingston,SF,20,21,0.5,0.5,0.523,1.2
Mike Muscala,C,32,16,0.5,0.364,0.386,1.1
Braxton Key,SF,26,20,0.4,0.412,0.471,1.1
Robin Lopez,C,35,16,0.4,0.368,0.421,1.1
Admiral Schofield,PF,26,23,0.4,0.385,0.5,1.1
Hunter Tyson,PF,23,18,0.4,0.4,0.5,1.1
Kenneth Lofton Jr.,PF,21,2,0.5,0.167,0.167,1
Ryan Rollins,PG,21,3,0.3,0.5,0.75,1
Alex Fudge,SF,20,4,0.3,0.167,0.167,1
Dylan Windler,SF,27,3,0.3,0.5,0.75,1
Taj Gibson,PF,38,16,0.4,0.304,0.304,1
Filip Petrušev,C,23,3,0.3,0.5,0.5,1
Hamidou Diallo,SG,25,2,0.5,0.5,0.5,1
Frank Ntilikina,PG,25,5,0.2,0.111,0.167,1
Joshua Primo,SG,21,2,0.5,0.333,0.333,1
Thanasis Antetokounmpo,PF,31,34,0.5,0.533,0.533,0.9
James Johnson,PF,36,9,0.3,0.3,0.3,0.9
Ish Wainright,SF,29,4,0.3,0.167,0.25,0.8
Charlie Brown Jr.,SG,26,8,0.3,0.2,0.3,0.8
DaQuan Jeffries,SG,26,17,0.4,0.353,0.412,0.8
Shaquille Harrison,SG,30,3,0.3,0.5,0.5,0.7
Quenton Jackson,PG,25,3,0,0,0,0.7
Wendell Moore Jr.,SG,22,25,0.4,0.5,0.5,0.7
Jalen Slawson,SF,24,12,0.3,0.667,0.667,0.7
Pat Spencer,PG,27,6,0.3,0.5,0.5,0.7
Alondes Williams,SG,24,7,0.3,0.25,0.25,0.7
Juan Toscano-Anderson,SF,30,11,0.3,0.25,0.292,0.6
Usman Garuba,PF,21,6,0.2,0.167,0.167,0.5
E.J. Liddell,PF,23,8,0.1,0.167,0.167,0.5
Pete Nance,PF,23,8,0.1,0.167,0.25,0.4
Harry Giles,C,25,7,0.1,0.167,0.167,0.3
Maxwell Lewis,SF,21,34,0.1,0.19,0.214,0.3
Trey Jemison,C,24,2,0,NA,NA,0
Darius Bazley,PF,23,3,0,0,0,0
Jacob Gilyard,PG,25,4,0,0,0,0
Marques Bolden,C,25,2,0,NA,NA,0
Kira Lewis Jr.,PG,22,1,0,NA,NA,0
Mamadi Diakite,PF,27,3,0,0,0,0
Filip Petrušev,C,23,1,0,NA,NA,0
Ryan Arcidiacono,PG,29,20,0,0,0,0
Malcolm Cazalon,SG,22,1,0,NA,NA,0
Jalen Crutcher,PG,24,1,0,0,0,0
Andrew Funk,SG,24,5,0,0,0,0
Kaiser Gates,SF,27,1,0,0,0,0
Danny Green,SG,36,2,0,0,0,0
Ron Harper Jr.,PF,23,1,0,NA,NA,0
Justin Jackson,SF,28,2,0,NA,NA,0
Dmytro Skapintsev,C,25,2,0,0,0,0
Javonte Smart,PG,24,1,0,NA,NA,0
League Average,,NA,NA,NA,0.474,0.547,NA
