Player,Pos,Age,G,FG,FG%,eFG%,PTS
Haywood Highsmith,SF,29,6,1.7,0.5,0.7,5.5
Jett Howard,SF,22,55,1.9,0.418,0.526,5.5
Spencer Jones,SF,24,64,2.1,0.504,0.613,5.5
Yves Missi,C,21,65,2.3,0.533,0.533,5.5
Pete Nance,PF,25,44,2.2,0.534,0.671,5.5
John Poulakidas,SG,22,8,1.9,0.375,0.525,5.5
Nae'Qwan Tomlin,PF,25,60,2.2,0.47,0.507,5.5
Jevon Carter,PG,30,23,1.8,0.398,0.553,5.4
Aaron Holiday,PG,29,52,1.8,0.402,0.53,5.4
Sion James,SG,23,78,1.7,0.379,0.494,5.4
Doug McDermott,SF,34,25,1.8,0.407,0.588,5.4
Sidy Cissoko,SF,21,71,1.9,0.399,0.488,5.3
Jordan Walsh,PF,21,63,2,0.512,0.601,5.3
John Konchar,SG,29,22,2,0.436,0.495,5.3
Mac McClung,SG,27,6,2,0.375,0.406,5.2
Drew Eubanks,C,28,42,2.2,0.596,0.599,5.2
Andersson Garcia,SF,25,5,1.8,0.31,0.328,5.2
Anthony Gill,PF,33,50,2.2,0.613,0.649,5.2
Garrison Mathews,SG,29,15,1.4,0.404,0.567,5.2
Blake Wesley,SG,22,28,2,0.458,0.5,5.2
Dylan Cardwell,C,24,40,2.2,0.571,0.571,5.1
Johnny Furphy,SG,21,35,2,0.47,0.547,5.1
Ochai Agbaji,SG,25,61,1.9,0.435,0.494,5
Jamal Cain,SF,26,35,1.7,0.468,0.565,5
Asa Newell,PF,20,42,2,0.539,0.63,5
Baylor Scheierman,SG,25,72,1.8,0.45,0.59,5
Patrick Baldwin Jr.,SF,23,2,1.5,0.75,1,5
Mo Bamba,C,27,2,2.5,0.556,0.556,5
Taylor Hendricks,PF,22,33,1.8,0.453,0.547,4.9
KJ Simpson,PG,23,18,1.8,0.34,0.402,4.9
Adem Bona,C,22,68,1.9,0.601,0.606,4.9
Jalen Pickett,SG,26,47,1.9,0.424,0.532,4.9
Tyrese Proctor,PG,21,46,1.7,0.403,0.505,4.9
RayJ Dennis,PG,24,13,1.7,0.306,0.389,4.9
Killian Hayes,PG,24,19,1.7,0.288,0.347,4.8
Gabe Vincent,PG,29,29,1.6,0.346,0.492,4.8
Vince Williams Jr.,SG,25,6,1.7,0.357,0.464,4.7
Lonzo Ball,PG,28,35,1.5,0.301,0.415,4.6
Malaki Branham,SG,22,28,1.5,0.473,0.549,4.6
Branden Carlson,C,26,38,1.9,0.522,0.598,4.6
Bez Mbeng,SG,22,12,1.8,0.396,0.425,4.6
Josh Okogie,SG,27,73,1.6,0.438,0.547,4.6
Jeremiah Robinson-Earl,PF,25,22,1.7,0.37,0.42,4.6
Jeremiah Robinson-Earl,PF,25,17,1.7,0.349,0.398,4.6
PJ Hall,C,23,19,1.6,0.508,0.534,4.5
Josh Green,SG,25,54,1.5,0.46,0.619,4.5
Mouhamed Gueye,PF,23,74,1.7,0.454,0.521,4.5
A.J. Lawson,SG,25,19,1.5,0.468,0.597,4.5
Jase Richardson,SG,20,51,1.6,0.464,0.541,4.5
Jarred Vanderbilt,PF,26,60,1.7,0.466,0.527,4.5
Jeremiah Robinson-Earl,PF,25,5,1.6,0.471,0.529,4.4
Gabe Vincent,PG,29,50,1.4,0.344,0.476,4.4
DeAndre Jordan,C,37,12,1.8,0.656,0.656,4.4
Tyler Kolek,PG,24,62,1.7,0.435,0.524,4.4
Liam McNeeley,SF,20,30,1.3,0.404,0.532,4.4
Jericho Sims,C,27,62,1.9,0.793,0.793,4.4
Ochai Agbaji,SG,25,42,1.7,0.424,0.459,4.3
Rayan Rupert,SG,21,61,1.6,0.39,0.467,4.3
Mike Conley,PG,38,51,1.2,0.315,0.435,4.3
Kam Jones,SG,23,32,1.8,0.426,0.496,4.3
Yanic Konan Niederhäuser,C,22,41,1.6,0.64,0.645,4.3
Skal Labissière,PF,29,3,2,0.6,0.65,4.3
Dereck Lively II,C,21,7,1.6,0.611,0.611,4.3
Grant Nelson,PF,23,4,1.3,0.556,0.556,4.3
Craig Porter Jr.,PG,25,60,1.8,0.439,0.502,4.3
Jabari Walker,PF,23,62,1.5,0.448,0.521,4.3
Dalen Terry,SG,23,13,1.7,0.423,0.471,4.3
Rasheer Fleming,PF,21,51,1.5,0.407,0.51,4.2
Taelon Peter,SG,23,33,1.5,0.375,0.512,4.2
Trayce Jackson-Davis,C,25,36,1.7,0.588,0.593,4.2
John Konchar,SG,29,52,1.6,0.471,0.544,4.1
Jordan Hawkins,SG,23,47,1.5,0.343,0.44,4.1
Noah Penda,SF,21,56,1.5,0.412,0.487,4.1
Terrence Shannon Jr.,SG,25,38,1.3,0.411,0.496,4.1
Jeremy Sochan,PF,22,28,1.7,0.475,0.52,4.1
Amir Coffey,SG,28,13,1.5,0.5,0.579,4.1
Mac McClung,SG,27,3,1.7,0.357,0.357,4
RayJ Dennis,PG,24,16,1.4,0.301,0.384,4
Nicolas Batum,PF,37,71,1.3,0.398,0.589,4
Tony Bradley,C,28,38,1.6,0.557,0.561,4
Brandon Clarke,PF,29,2,1.5,0.333,0.333,4
Taj Gibson,C,40,7,1.4,0.556,0.639,4
DaRon Holmes,PF,23,22,1.4,0.517,0.681,4
Dalton Knecht,SF,24,50,1.6,0.446,0.534,4
Moussa Cisse,C,23,35,1.5,0.589,0.589,3.9
Myron Gardner,SF,24,41,1.4,0.479,0.588,3.9
Hugo González,SF,19,72,1.6,0.473,0.556,3.9
Caleb Martin,SF,30,58,1.5,0.45,0.503,3.9
Tyus Jones,PG,29,8,1.6,0.382,0.441,3.9
Gabe Vincent,PG,29,21,1.3,0.342,0.449,3.8
Jaylen Clark,SG,24,63,1.4,0.432,0.497,3.8
Micah Peavy,SG,24,57,1.6,0.376,0.424,3.8
Omer Yurtseven,C,27,9,1.2,0.423,0.423,3.8
Patrick Baldwin Jr.,SF,23,6,1.3,0.348,0.435,3.8
Ousmane Dieng,C,22,27,1.4,0.418,0.516,3.7
Patrick Baldwin Jr.,SF,23,9,1.2,0.407,0.519,3.7
Dalen Terry,SG,23,47,1.4,0.435,0.513,3.7
Carter Bryant,PF,20,67,1.4,0.386,0.475,3.7
Zeke Nnaji,PF,25,49,1.3,0.471,0.518,3.7
Kyle Anderson,SF,32,15,1.4,0.429,0.429,3.6
Clint Capela,C,31,70,1.5,0.512,0.512,3.6
Mohamed Diawara,SF,20,67,1.3,0.436,0.554,3.6
Keshad Johnson,SF,24,28,1.3,0.439,0.512,3.6
Tolu Smith,PF,25,12,1.2,0.5,0.5,3.6
Rob Dillingham,PG,21,35,1.3,0.333,0.376,3.5
Dalen Terry,SG,23,34,1.3,0.441,0.534,3.5
Trayce Jackson-Davis,C,25,50,1.4,0.57,0.574,3.5
Jeremy Sochan,PF,22,42,1.4,0.5,0.538,3.5
Keaton Wallace,PG,26,51,1.3,0.42,0.538,3.5
Lucas Williamson,,27,2,1,0.333,0.417,3.5
Charles Bassey,C,25,2,1.5,0.375,0.375,3.5
Ron Harper Jr.,SF,25,26,1.3,0.398,0.53,3.4
Jayson Kent,SF,23,3,1.3,0.667,0.75,3.3
Larry Nance Jr.,PF,33,31,1.3,0.382,0.475,3.3
Dwight Powell,C,34,58,1,0.667,0.672,3.3
Isaiah Stevens,PG,25,3,1,0.429,0.429,3.3
James Wiseman,C,24,4,1.5,0.6,0.6,3.3
Riley Minix,SF,25,3,1.3,0.667,0.833,3.3
Nick Richards,C,28,28,1.3,0.493,0.493,3.2
John Konchar,SG,29,30,1.2,0.521,0.613,3.2
Riley Minix,SF,25,6,1.3,0.667,0.792,3.2
Jamison Battle,SF,24,56,1.2,0.504,0.631,3.2
Dorian Finney-Smith,PF,32,36,1.1,0.331,0.435,3.2
Kelly Olynyk,C,34,42,1.1,0.49,0.552,3.2
Miles Kelly,PG,23,14,1.1,0.364,0.477,3.1
Mark Sears,PG,23,7,0.9,0.462,0.615,3.1
Drew Timme,PF,25,23,1.3,0.588,0.667,3.1
Christian Koloko,C,25,13,1.2,0.471,0.485,3.1
Riley Minix,SF,25,3,1.3,0.667,0.75,3
Cam Christie,SG,20,51,1,0.386,0.432,3
Chris Livingston,SF,22,3,1.3,0.571,0.571,3
Emanuel Miller,PF,25,5,1.2,0.462,0.538,3
Monte Morris,PG,30,6,1.2,0.35,0.4,3
Nikola Topić,PG,20,6,1.3,0.444,0.5,3
Tyus Jones,PG,29,48,1.1,0.342,0.437,3
Dalano Banton,PG,26,2,1.5,0.75,0.75,3
Kobe Brown,PF,26,34,1,0.393,0.47,2.9
Rayan Rupert,SG,21,48,1.1,0.361,0.435,2.9
Amir Coffey,SG,28,43,1,0.484,0.554,2.9
Charles Bassey,C,25,8,1.3,0.625,0.625,2.9
Joan Beringer,PF,19,35,1.3,0.652,0.652,2.9
David Jones García,SF,24,11,1.2,0.52,0.58,2.9
Chris Paul,PG,40,16,1.1,0.321,0.411,2.9
Duop Reath,C,29,32,1,0.446,0.601,2.9
Charles Bassey,C,25,5,1.2,0.857,0.857,2.8
Tyus Jones,PG,29,65,1.1,0.346,0.434,2.8
Trey Alexander,SG,22,5,1.2,0.667,0.778,2.8
Pat Connaughton,SG,33,39,1,0.458,0.584,2.8
AJ Johnson,SG,21,44,1,0.324,0.363,2.8
AJ Johnson,SG,21,25,1.1,0.325,0.367,2.8
Yuki Kawamura,PG,24,13,0.7,0.321,0.429,2.8
Julian Phillips,SF,22,35,1.1,0.42,0.511,2.8
Guerschon Yabusele,C,30,41,1,0.393,0.486,2.7
AJ Johnson,SG,21,19,1,0.322,0.356,2.7
Christian Koloko,C,25,26,1.2,0.435,0.442,2.7
Kobe Bufkin,SG,22,13,0.9,0.293,0.329,2.7
Kevon Looney,C,29,19,1.2,0.426,0.435,2.7
Khaman Maluach,C,19,42,1,0.537,0.555,2.7
Norchad Omier,PF,24,3,1.3,0.8,0.8,2.7
Antonio Reeves,SG,25,10,1,0.5,0.675,2.7
Jae'Sean Tate,SF,30,42,1.1,0.5,0.547,2.7
Christian Koloko,C,25,11,1.3,0.4,0.4,2.6
Julian Phillips,SF,22,44,1,0.424,0.51,2.6
Gary Harris,SG,31,46,0.9,0.453,0.595,2.6
Jonathan Isaac,PF,28,52,0.9,0.422,0.454,2.6
Malevy Leons,SF,26,21,1,0.423,0.452,2.6
E.J. Liddell,PF,25,21,1,0.386,0.447,2.6
Sean Pedulla,PG,23,5,1,0.385,0.5,2.6
Tyler Smith,PF,21,8,1,0.32,0.38,2.6
Tyrese Martin,SG,26,8,1.1,0.409,0.455,2.5
Mo Bamba,C,27,4,1.3,0.455,0.455,2.5
Amir Coffey,SG,28,30,0.9,0.473,0.536,2.4
Koby Brea,SG,23,9,0.8,0.412,0.588,2.4
Bronny James,SG,21,37,0.9,0.391,0.477,2.4
Chaz Lanier,SG,24,30,0.8,0.321,0.436,2.4
Alijah Martin,SG,24,20,0.8,0.341,0.386,2.4
Lindy Waters III,SG,28,39,0.8,0.372,0.523,2.4
Leonard Miller,SF,22,19,0.9,0.545,0.561,2.3
Jeremy Sochan,PF,22,14,0.9,0.619,0.619,2.3
Chris Boucher,PF,33,9,0.9,0.32,0.36,2.3
Yang Hansen,C,20,41,0.8,0.31,0.335,2.3
Caleb Houstan,SF,23,18,0.8,0.538,0.75,2.3
Luke Travers,SG,24,12,0.8,0.25,0.264,2.3
Chris Youngblood,SG,23,33,0.7,0.349,0.492,2.2
JD Davison,PG,23,27,0.8,0.4,0.473,2.2
Tristan Enaruna,SF,24,6,1,0.375,0.406,2.2
Andre Jackson Jr.,SG,24,44,0.8,0.333,0.407,2.2
Hunter Tyson,PF,25,21,0.7,0.269,0.337,2.2
Xavier Tillman Sr.,C,27,14,1,0.452,0.5,2.2
Jeff Green,PF,39,29,0.8,0.383,0.483,2.1
Maxi Kleber,PF,34,38,0.8,0.46,0.508,2.1
Charles Bassey,C,25,1,1,1,1,2
Chris Youngblood,SG,23,32,0.6,0.333,0.467,2
Dalano Banton,PG,26,5,0.8,0.444,0.444,2
Colin Castleton,C,25,1,1,0.333,0.333,2
Hunter Dickinson,C,25,1,1,0.5,0.5,2
Trentyn Flowers,SF,20,2,1,0.667,0.667,2
Keshon Gilbert,PG,22,3,0.3,0.25,0.25,2
Colby Jones,SG,23,1,1,0.333,0.333,2
Johnny Juzang,SG,24,21,0.8,0.421,0.5,2
Jordan McLaughlin,PG,29,41,0.8,0.413,0.52,2
Wendell Moore Jr.,SG,24,5,0.8,0.571,0.571,2
Alex Morales,PG,28,1,1,0.5,0.5,2
Lachlan Olbrich,C,22,32,0.8,0.5,0.52,2
Zyon Pullin,SG,24,2,0.5,1,1,2
Payton Sandfort,SF,23,2,0.5,0.2,0.3,2
PJ Hall,C,23,7,0.7,0.556,0.611,1.9
Trayce Jackson-Davis,C,25,14,0.6,0.474,0.474,1.9
Julian Phillips,SF,22,9,0.6,0.455,0.5,1.9
Ariel Hukporti,C,23,52,0.7,0.544,0.551,1.9
Mason Plumlee,C,35,14,0.6,0.75,0.75,1.9
Harrison Ingram,SF,23,6,0.8,0.833,0.917,1.8
Bobi Klintman,SF,22,12,0.8,0.333,0.407,1.8
Isaiah Livers,PF,27,36,0.6,0.344,0.438,1.8
Cody Martin,SF,30,4,0.5,0.2,0.2,1.8
Kevin McCullar Jr.,SF,24,20,0.7,0.389,0.472,1.8
Orlando Robinson,C,25,4,0.8,0.6,0.7,1.8
TyTy Washington Jr.,PG,24,12,0.8,0.474,0.553,1.8
Jahmir Young,PG,25,11,0.7,0.364,0.409,1.8
Jacob Toppin,SF,25,5,0.8,0.667,0.667,1.6
Mason Plumlee,C,35,19,0.5,0.769,0.769,1.5
Buddy Boeheim,SF,26,4,0.5,0.333,0.5,1.5
Jonathan Mogbo,PF,24,35,0.7,0.561,0.561,1.5
Rocco Zikarsky,C,19,4,0.8,0.6,0.6,1.5
Xavier Tillman Sr.,C,27,28,0.6,0.395,0.43,1.4
Adou Thiero,SF,21,21,0.5,0.455,0.455,1.4
KJ Simpson,PG,23,4,0.5,0.25,0.25,1.3
Dalano Banton,PG,26,3,0.3,0.2,0.2,1.3
Alex Antetokounmpo,SF,24,3,0,0,0,1.3
Brooks Barnhizer,SG,23,37,0.5,0.373,0.422,1.3
Isaiah Crawford,SF,24,13,0.5,0.333,0.389,1.3
Pacôme Dadiet,SG,20,27,0.4,0.314,0.4,1.3
Nigel Hayes-Davis,SF,31,27,0.6,0.326,0.348,1.3
Curtis Jones,SG,24,7,0.6,0.286,0.321,1.3
Kyle Lowry,PG,39,13,0.3,0.2,0.3,1.3
David Roddy,PF,24,3,0.3,0.2,0.2,1.3
Amari Williams,PF,24,21,0.4,0.474,0.474,1.3
Isaac Jones,PF,25,3,0.7,0.5,0.5,1.3
Isaac Jones,PF,25,6,0.5,0.5,0.5,1.2
Thanasis Antetokounmpo,SF,33,31,0.4,0.458,0.458,1.2
Javonte Cooke,SG,26,19,0.5,0.22,0.256,1.2
Dillon Jones,SF,24,6,0.2,0.167,0.25,1.2
Tyus Jones,PG,29,9,0.4,0.308,0.385,1.1
Isaac Jones,PF,25,3,0.3,0.5,0.5,1
CJ Huntley,SF,24,2,0.5,0.5,0.5,1
Hunter Sallis,SG,22,7,0.4,0.6,0.6,1
Dario Šarić,C,31,5,0.2,0.167,0.25,1
Olivier Sarr,C,26,1,0,NA,NA,1
Stanley Umude,SG,26,2,0.5,0.5,0.5,1
Bismack Biyombo,C,33,24,0.3,0.571,0.571,0.9
Johni Broome,C,23,11,0.4,0.167,0.167,0.9
Buddy Hield,SG,33,6,0.2,0.111,0.111,0.8
N'Faly Dante,C,24,4,0.3,0.25,0.25,0.8
Markelle Fultz,PG,27,5,0.4,0.182,0.182,0.8
Vladislav Goldin,C,24,5,0.4,0.667,0.667,0.8
Joe Ingles,SF,38,25,0.3,0.538,0.654,0.8
Trey Jemison,C,26,11,0.4,0.571,0.571,0.8
Drew Peterson,PF,26,6,0.3,0.125,0.125,0.8
Garrett Temple,SG,39,21,0.1,0.214,0.286,0.7
Mason Plumlee,C,35,5,0.2,1,1,0.6
Xavier Tillman Sr.,C,27,14,0.2,0.25,0.25,0.5
Max Shulga,SG,23,9,0.1,0.25,0.25,0.4
John Tonje,SG,24,5,0,0,0,0.4
Chris Mañon,SG,24,6,0,0,0,0.3
Jahmyl Telfort,PF,24,8,0,0,0,0.1
RayJ Dennis,PG,24,1,0,NA,NA,0
RayJ Dennis,PG,24,2,0,0,0,0
Patrick Baldwin Jr.,SF,23,1,0,NA,NA,0
Christian Koloko,C,25,2,0,NA,NA,0
Mo Bamba,C,27,2,0,0,0,0
Darius Brown II,SG,26,1,0,0,0,0
Noa Essengue,PF,19,2,0,0,0,0
Tosan Evbuomwan,SF,24,5,0,0,0,0
Enrique Freeman,PF,25,2,0,NA,NA,0
Chucky Hepburn,PG,22,2,0,0,0,0
Trevor Keels,SG,22,4,0,0,0,0
League Average,,NA,NA,NA,0.47,0.545,NA
