Player,Pos,Age,G,FG,FG%,eFG%,PTS
Jusuf Nurkić,C,30,51,3.3,0.477,0.523,8.9
Clint Capela,C,30,55,4,0.559,0.559,8.9
Johnny Juzang,SG,23,64,3.2,0.429,0.554,8.9
Luke Kennard,SG,28,65,3.2,0.478,0.609,8.9
Josh Okogie,SG,26,15,2.5,0.388,0.469,8.9
Justin Champagnie,SF,23,62,3.4,0.511,0.601,8.8
Svi Mykhailiuk,SF,27,38,3.1,0.391,0.507,8.8
Chris Paul,PG,39,82,3,0.427,0.547,8.8
Jonas Valančiūnas,C,32,32,3.6,0.556,0.559,8.7
Georges Niang,PF,31,51,3.3,0.477,0.606,8.7
Marcus Smart,PG,30,19,2.8,0.358,0.456,8.7
Kelly Olynyk,C,33,44,3,0.5,0.562,8.7
Dorian Finney-Smith,PF,31,63,3.1,0.448,0.597,8.7
Oshae Brissett,SF,26,6,3.2,0.487,0.564,8.7
Kentavious Caldwell-Pope,SG,31,77,3.1,0.439,0.543,8.7
Isaiah Collier,PG,20,71,3.3,0.422,0.459,8.7
Dante Exum,PG,29,20,3.2,0.478,0.563,8.7
Kyshawn George,SG,21,68,3,0.372,0.476,8.7
Jaden Hardy,SG,22,57,3.2,0.435,0.527,8.7
Dereck Lively II,C,20,36,3.7,0.702,0.702,8.7
Tyrese Martin,SG,25,60,3.2,0.406,0.513,8.7
Colby Jones,SG,22,15,3.2,0.466,0.524,8.7
Jusuf Nurkić,C,30,25,3,0.454,0.512,8.6
Matas Buzelis,SF,20,80,3.2,0.454,0.541,8.6
Jaime Jaquez Jr.,SF,23,66,3.2,0.461,0.501,8.6
Ja'Kobe Walter,SG,20,52,3.1,0.405,0.487,8.6
Lester Quiñones,SG,24,9,3,0.386,0.479,8.6
Zach Collins,PF,27,28,3.3,0.541,0.594,8.6
Max Christie,SG,21,46,2.8,0.444,0.549,8.5
Sam Hauser,PF,27,71,3,0.451,0.627,8.5
Larry Nance Jr.,PF,32,24,3.3,0.516,0.626,8.5
Jared Rhoden,SG,25,14,3,0.483,0.552,8.4
Jaylen Nowell,SG,25,8,3.3,0.356,0.411,8.4
Cason Wallace,SG,21,68,3.4,0.474,0.55,8.4
Bruce Brown,PG,28,18,3.2,0.435,0.477,8.4
Bruce Brown,PG,28,41,3.2,0.421,0.464,8.3
Dalano Banton,PG,25,67,3,0.391,0.462,8.3
Brandon Clarke,PF,28,64,3.7,0.621,0.622,8.3
Keon Ellis,SG,25,80,2.8,0.489,0.639,8.3
Brandon Williams,PG,25,33,3,0.521,0.585,8.3
Bruce Brown,PG,28,23,3.2,0.41,0.455,8.2
Mike Conley,PG,37,71,2.6,0.4,0.535,8.2
Taurean Prince,SF,30,80,2.9,0.457,0.6,8.2
Jalen Smith,C,24,64,3,0.466,0.554,8.2
Quinten Post,PF,24,42,2.9,0.449,0.582,8.1
Peyton Watson,SF,22,68,3,0.477,0.533,8.1
Orlando Robinson,C,24,35,3.1,0.447,0.48,8.1
Kevin Huerter,SG,26,43,3,0.413,0.513,7.9
Dorian Finney-Smith,PF,31,43,2.8,0.442,0.591,7.9
Davion Mitchell,PG,26,74,3,0.468,0.557,7.9
Caleb Martin,SF,29,45,2.9,0.424,0.485,7.9
Tyson Etienne,PG,25,7,2.4,0.327,0.452,7.9
Day'Ron Sharpe,C,23,50,3.3,0.521,0.538,7.9
KJ Simpson,PG,22,36,2.9,0.346,0.4,7.8
Jalen Hood-Schifino,SG,21,13,2.8,0.371,0.443,7.8
Cody Martin,SF,29,39,3,0.433,0.507,7.8
Terance Mann,SG,28,67,3.1,0.496,0.569,7.7
Karlo Matković,PF,23,42,3.2,0.574,0.619,7.7
AJ Johnson,SG,20,29,2.8,0.385,0.441,7.6
Lonzo Ball,PG,27,35,2.5,0.366,0.504,7.6
Oscar Tshiebwe,C,25,14,3,0.6,0.6,7.6
Garrison Mathews,SG,28,47,2.2,0.397,0.562,7.5
Matisse Thybulle,SG,27,15,2.8,0.477,0.597,7.5
Vasilije Micić,PG,31,36,2.6,0.348,0.43,7.5
A.J. Green,SG,25,73,2.5,0.429,0.612,7.4
Josh Green,SG,24,68,2.6,0.428,0.543,7.4
Richaun Holmes,PF,31,31,2.9,0.647,0.647,7.4
Cole Swider,SF,25,8,2.8,0.379,0.509,7.4
Shake Milton,SG,28,27,2.7,0.465,0.554,7.4
Damion Baugh,SG,24,15,2.8,0.323,0.369,7.3
Alec Burks,SG,33,49,2.3,0.424,0.587,7.3
Ricky Council IV,SF,23,73,2.4,0.382,0.442,7.3
Andre Drummond,C,31,40,2.9,0.5,0.506,7.3
Jake LaRavia,PF,23,47,2.5,0.49,0.573,7.3
Tre Jones,PG,25,46,2.8,0.538,0.578,7.2
Goga Bitadze,C,25,70,3,0.611,0.615,7.2
Tristan Da Silva,SF,23,74,2.7,0.412,0.495,7.2
GG Jackson II,PF,20,29,2.6,0.372,0.452,7.2
Vit Krejci,PG,24,57,2.5,0.497,0.651,7.2
Sam Merrill,SG,28,71,2.4,0.406,0.567,7.2
Daeqwon Plowden,SG,26,6,2.7,0.64,0.82,7.2
Nae'Qwan Tomlin,PF,24,5,2.6,0.406,0.438,7.2
Bones Hyland,PG,24,20,2.3,0.391,0.526,7.2
Colin Castleton,C,24,11,2.9,0.5,0.516,7.2
Kelly Olynyk,C,33,24,2.5,0.5,0.581,7.1
Josh Okogie,SG,26,40,2.4,0.443,0.519,7.1
Jalen Hood-Schifino,SG,21,15,2.5,0.378,0.449,7.1
Jamison Battle,SF,23,59,2.5,0.429,0.581,7.1
Alex Caruso,SG,30,54,2.6,0.446,0.541,7.1
Jamal Shead,PG,22,75,2.7,0.405,0.476,7.1
Jeff Dowtin Jr.,PG,27,41,2.7,0.487,0.548,7
Marcus Garrett,SG,26,4,2.8,0.407,0.463,7
Isaiah Jackson,C,23,5,2.8,0.609,0.609,7
Jaylen Sims,SG,26,6,2,0.429,0.536,7
Jared Butler,PG,24,32,2.7,0.483,0.526,6.9
Orlando Robinson,C,24,44,2.6,0.444,0.477,6.9
Jake LaRavia,PF,23,66,2.4,0.475,0.564,6.9
Ryan Dunn,SF,22,74,2.8,0.43,0.516,6.9
Jay Huff,C,26,64,2.5,0.515,0.648,6.9
Cameron Payne,PG,30,72,2.5,0.401,0.506,6.9
Antonio Reeves,SG,24,44,2.6,0.456,0.558,6.9
Thomas Bryant,C,27,56,2.7,0.515,0.587,6.9
Chuma Okeke,PF,26,7,2.6,0.545,0.697,6.9
Torrey Craig,SF,34,9,2.4,0.489,0.656,6.9
Cody Martin,SF,29,53,2.6,0.418,0.485,6.8
Bol Bol,PF,25,36,2.7,0.525,0.612,6.8
Eric Gordon,SG,36,39,2.2,0.426,0.564,6.8
Jaxson Hayes,C,24,56,2.9,0.722,0.722,6.8
Marcus Bagley,SF,23,10,2.7,0.391,0.428,6.7
DaQuan Jeffries,SG,27,47,2.5,0.405,0.5,6.7
Kyle Anderson,SF,31,25,2.6,0.493,0.515,6.7
Lester Quiñones,SG,24,13,2.4,0.397,0.481,6.6
Vasilije Micić,PG,31,41,2.3,0.348,0.43,6.6
Precious Achiuwa,C,25,57,2.9,0.502,0.517,6.6
Trayce Jackson-Davis,C,24,62,2.8,0.576,0.576,6.6
Marcus Sasser,PG,24,57,2.4,0.463,0.561,6.6
Vince Williams Jr.,SG,24,27,2.5,0.401,0.479,6.6
Thomas Bryant,C,27,66,2.5,0.508,0.583,6.5
Donovan Clingan,C,20,67,2.7,0.539,0.56,6.5
Seth Curry,SG,34,68,2.4,0.478,0.599,6.5
Haywood Highsmith,SF,28,74,2.4,0.458,0.572,6.5
Talen Horton-Tucker,SG,24,58,2.3,0.457,0.527,6.5
Trey Lyles,PF,29,69,2.3,0.42,0.528,6.5
Ajay Mitchell,SG,22,36,2.5,0.495,0.557,6.5
Gary Payton II,SG,32,62,2.8,0.574,0.626,6.5
Zach Collins,PF,27,64,2.4,0.507,0.56,6.4
Kris Dunn,PG,30,74,2.6,0.439,0.525,6.4
Ron Holland,SF,19,81,2.4,0.474,0.517,6.4
KJ Martin,PF,24,43,2.6,0.552,0.59,6.4
KJ Martin,PF,24,24,2.5,0.616,0.657,6.4
Gabe Vincent,PG,28,72,2.3,0.4,0.53,6.4
Davion Mitchell,PG,26,44,2.4,0.434,0.52,6.3
KJ Martin,SF,24,19,2.6,0.49,0.525,6.3
Sandro Mamukelashvili,PF,25,61,2.3,0.502,0.609,6.3
Jeremiah Robinson-Earl,PF,24,66,2.4,0.455,0.536,6.3
Kenrich Williams,PF,30,69,2.5,0.483,0.576,6.3
Bones Hyland,PG,24,24,2,0.398,0.534,6.2
Jonathan Mogbo,PF,23,63,2.5,0.438,0.462,6.2
Ryan Rollins,PG,22,56,2.4,0.487,0.577,6.2
Dru Smith,SG,27,14,2.2,0.508,0.639,6.2
Ben Simmons,PG,28,33,2.8,0.547,0.547,6.2
Jake LaRavia,PF,23,19,2.2,0.438,0.542,6.1
Isaac Okoro,SG,24,55,2.3,0.464,0.569,6.1
Jarace Walker,PF,21,75,2.3,0.472,0.576,6.1
Terance Mann,SG,28,37,2.4,0.446,0.513,6
Josh Okogie,SG,26,25,2.2,0.491,0.561,6
N'Faly Dante,C,23,4,2.5,0.769,0.769,6
Mouhamed Gueye,PF,22,33,2.2,0.421,0.482,6
Luke Kornet,C,29,73,2.6,0.668,0.668,6
Isaiah Mobley,PF,25,1,2,0.286,0.357,6
