date,n
2024-08-23,44
2024-08-24,46
2024-08-25,43
2024-08-26,37
2024-08-27,51
2024-08-28,34
2024-08-29,53
2024-08-30,62
2024-08-31,32
2024-09-01,49
2024-09-02,22
2024-09-03,62
2024-09-04,51
2024-09-05,39
2024-09-06,65
2024-09-07,30
2024-09-08,20
2024-09-09,52
2024-09-10,52
2024-09-11,45
2024-09-12,44
2024-09-13,56
2024-09-14,33
2024-09-15,36
2024-09-16,36
2024-09-17,38
2024-09-18,51
2024-09-19,56
2024-09-20,47
2024-09-21,45
2024-09-22,28
2024-09-23,55
2024-09-24,71
2024-09-25,45
2024-09-26,43
2024-09-27,84
2024-09-28,83
2024-09-29,35
2024-09-30,51
2024-10-01,42
2024-10-02,52
2024-10-03,43
2024-10-04,61
2024-10-05,37
2024-10-06,33
2024-10-07,46
2024-10-08,50
2024-10-09,45
2024-10-10,44
2024-10-11,44
2024-10-12,47
2024-10-13,31
2024-10-14,33
2024-10-15,39
2024-10-16,54
2024-10-17,46
2024-10-18,49
2024-10-19,44
2024-10-20,41
2024-10-21,48
2024-10-22,46
2024-10-23,34
2024-10-24,56
2024-10-25,49
2024-10-26,35
2024-10-27,31
2024-10-28,36
2024-10-29,44
2024-10-30,47
2024-10-31,74
2024-11-01,59
2024-11-02,43
2024-11-03,45
2024-11-04,43
2024-11-05,45
2024-11-06,81
2024-11-07,48
2024-11-08,58
2024-11-09,40
2024-11-10,57
2024-11-11,33
2024-11-12,44
2024-11-13,56
2024-11-14,68
2024-11-15,45
2024-11-16,34
2024-11-17,23
2024-11-18,32
2024-11-19,61
2024-11-20,53
2024-11-21,56
2024-11-22,47
2024-11-23,31
2024-11-24,32
2024-11-25,46
2024-11-26,40
2024-11-27,50
2024-11-28,34
2024-11-29,31
2024-11-30,50
2024-12-01,44
2024-12-02,29
2024-12-03,52
2024-12-04,40
2024-12-05,45
2024-12-06,55
2024-12-07,47
2024-12-08,32
2024-12-09,57
2024-12-10,56
2024-12-11,44
2024-12-12,34
2024-12-13,45
2024-12-14,52
2024-12-15,50
2024-12-16,55
2024-12-17,49
2024-12-18,49
2024-12-19,40
2024-12-20,66
2024-12-21,38
2024-12-22,36
2024-12-23,27
2024-12-24,35
2024-12-25,22
2024-12-26,35
2024-12-27,58
2024-12-28,23
2024-12-29,29
2024-12-30,29
2024-12-31,43
